,Name of Movie,Star1,Star2,Star3,Votes,Genre1,Genre2,Genre3,Gross_Collection,Popularity,Certification
889,Underworld: Rise of the Lycans,Rhona Mitra,Michael Sheen,Bill Nighy," 59,641 ",Action,Fantasy,Thriller,Color,-,R
890,Executive Decision,Kurt Russell,Halle Berry,John Leguizamo," 103,136 ",Action,Adventure,Thriller,DolbySDDS,-,R
891,Cellular,Kim Basinger,Chris Evans,Jason Statham," 101,565 ",Action,Crime,Thriller,-,-,PG-13
892,Self/less,Ryan Reynolds,Natalie Martinez,Matthew Goode," 34,531",Action,Mystery,Sci-Fi,-,-,PG-13
893,Batman: The Movie,Adam West,Burt Ward,Lee Meriwether," 97,443 ",Action,Adventure,Comedy,Color,-,PG
894,The International,Clive Owen,Naomi Watts,Armin Mueller-Stahl," 35,549 ",Action,Crime,Drama,"$25,450,527",-,R
895,The Grandmaster,Tony Leung Chiu-wai,Ziyi Zhang,Jin Zhang," 112,181 ",Action,Biography,Drama,-,-,PG-13
896,Hostage,Bruce Willis,Kevin Pollak,Serena Scott Thomas," 27,133",Action,Crime,Drama,Color,-,R
897,Space Sweepers,Song Joong-ki,Kim Tae-ri,Jin Seon-kyu," 116,271 ",Action,Adventure,Drama,-,-,TV-MA
898,Premium Rush,Joseph Gordon-Levitt,Michael Shannon,Dania Ramirez," 43,575 ",Action,Crime,Thriller,Color,-,PG-13
899,Flyboys,James Franco,Jean Reno,Jennifer Decker," 34,849 ",Action,Drama,History,-,-,PG-13
900,The Four Feathers,Heath Ledger,Wes Bentley,Kate Hudson," 38,124 ",Action,Adventure,Drama,-,-,PG-13
901,Heist,Gene Hackman,Rebecca Pidgeon,Danny DeVito," 29,471",Action,Crime,Drama,-,-,R
902,War,Hrithik Roshan,Tiger Shroff,Vaani Kapoor," 58,613 ",Action,Adventure,Thriller,Color,-,Not Rated
903,Ladder 49,Joaquin Phoenix,John Travolta,Jacinda Barrett," 57,377 ",Action,Drama,Thriller,-,-,PG-13
904,Taxi 2,Samy Naceri,Frédéric Diefenthal,Emma Wiklund," 32,515 ",Action,Comedy,Crime,-,-,Not Rated
905,Spartan,Val Kilmer,Derek Luke,William H. Macy," 28,271 ",Action,Crime,Drama,-,-,R
906,Dhoom 2,Hrithik Roshan,Abhishek Bachchan,Aishwarya Rai Bachchan," 45,488 ",Action,Crime,Thriller,-,-,Not Rated
907,District 13: Ultimatum,Cyril Raffaelli,David Belle,Philippe Torreton," 58,604 ",Action,Crime,Thriller,-,-,R
908,Conquest 1453,Devrim Evin,Ibrahim Celikkol,Dilek Serbest," 188,743 ",Action,Drama,History,Color,-,Not Rated
909,Valerian and the City of a Thousand Planets,Dane DeHaan,Cara Delevingne,Clive Owen," 123,855",Action,Adventure,Fantasy,Color,350,PG-13
910,Greenland,Gerard Butler,Morena Baccarin,Roger Dale Floyd," 131,365 ",Action,Thriller,-,Color,673,PG-13
911,Escape Room,Taylor Russell,Logan Miller,Jay Ellis," 512,234 ",Action,Adventure,Horror,-,829,PG-13
912,Lucy,Scarlett Johansson,Morgan Freeman,Choi Min-sik," 203,086 ",Action,Sci-Fi,Thriller,Color,950,R
913,Twister,Helen Hunt,Bill Paxton,Cary Elwes," 460,193 ",Action,Adventure,Thriller,Color,952,PG-13
914,The Day After Tomorrow,Dennis Quaid,Jake Gyllenhaal,Emmy Rossum," 712,459 ",Action,Adventure,Sci-Fi,"$186,740,799",955,PG-13
915,Batman v Superman: Dawn of Justice,Ben Affleck,Henry Cavill,Amy Adams," 157,307 ",Action,Adventure,Sci-Fi,"$330,360,194",975,PG-13
916,Last Action Hero,Arnold Schwarzenegger,F. Murray Abraham,Art Carney," 335,133 ",Action,Adventure,Comedy,"$50,016,394","1,069",PG-13
917,The Mummy Returns,Brendan Fraser,Rachel Weisz,John Hannah," 353,221 ",Action,Adventure,Fantasy,Color,"1,127",PG-13
918,The Expendables,Sylvester Stallone,Jason Statham,Jet Li," 136,185",Action,Adventure,Thriller,"$103,068,524","1,212",R
919,Triple Frontier,Ben Affleck,Oscar Isaac,Charlie Hunnam," 423,138 ",Action,Thriller,-,-,"1,268",R
920,Godzilla,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston," 172,880 ",Action,Adventure,Sci-Fi,Dolby AtmosSDDSDatasatDolby Digital12-Track Digital SoundSonics-DDPDolby Surround 7.1,"1,448",PG-13
921,Riddick,Vin Diesel,Karl Urban,Katee Sackhoff," 164,871 ",Action,Adventure,Sci-Fi,Color,"1,577",R
922,The Punisher,Thomas Jane,John Travolta,Samantha Mathis," 307,833 ",Action,Crime,Drama,"$33,810,189","1,730",R
923,Alien³,Sigourney Weaver,Charles S. Dutton,Charles Dance," 186,406 ",Action,Horror,Sci-Fi,Color,"1,734",R
924,Tomorrowland,George Clooney,Britt Robertson,Hugh Laurie," 103,215 ",Action,Adventure,Family,Color,"1,760",PG
