,Name of Movie,Star1,Star2,Star3,Votes,Genre1,Genre2,Genre3,Gross_Collection,Popularity,Certification
423,'71,Jack O'Connell,Sam Reid,Sean Harris," 89,519 ",Action,Crime,Drama,-,-,R
424,Harry Brown,Michael Caine,Emily Mortimer,David Bradley," 32,047 ",Action,Crime,Drama,Color,-,R
425,Fist of Fury,Bruce Lee,Nora Miao,James Tien," 35,057",Action,Drama,Romance,Mono,-,R
426,Marshland,Javier Gutiérrez,Raúl Arévalo,María Varod," 36,776 ",Action,Crime,Mystery,-,-,TV-MA
427,The Good the Bad the Weird,Song Kang-ho,Lee Byung-hun,Jung Woo-sung," 47,963 ",Action,Adventure,Comedy,ColorBlack and White,-,R
428,Mongol: The Rise of Genghis Khan,Tadanobu Asano,Amadu Mamadakov,Khulan Chuluun," 57,228",Action,Biography,Drama,Color,-,R
429,Final Fantasy VII: Advent Children,Takahiro Sakurai,Ayumi Ito,Shôtarô Morikubo," 29,150 ",Animation,Action,Adventure,-,-,PG-13
430,Holiday: A Soldier is Never Off Duty,Akshay Kumar,Sonakshi Sinha,Freddy Daruwala," 401,010 ",Action,Crime,Thriller,-,-,Not Rated
431,Furious 7,Vin Diesel,Paul Walker,Dwayne Johnson," 443,959 ",Action,Crime,Thriller,United StatesChinaJapanCanadaUnited Arab Emirates,134,PG-13
432,The Mummy,Brendan Fraser,Rachel Weisz,John Hannah," 190,538 ",Action,Adventure,Fantasy,"$155,385,488",266,PG-13
433,Wrath of Man,Jason Statham,Holt McCallany,Josh Hartnett," 439,131 ",Action,Crime,Thriller,Dolby Surround 7.1,416,R
434,Mission: Impossible,Tom Cruise,Jon Voight,Emmanuelle Béart," 391,335 ",Action,Adventure,Thriller,Color,470,PG-13
435,Free Guy,Ryan Reynolds,Jodie Comer,Taika Waititi," 282,870 ",Action,Adventure,Comedy,Color,471,PG-13
436,Dredd,Karl Urban,Olivia Thirlby,Lena Headey," 224,178 ",Action,Crime,Sci-Fi,"$13,414,714",473,R
437,Everest,Jason Clarke,Ang Phula Sherpa,Thomas M. Wright," 429,456 ",Action,Adventure,Biography,Color,496,PG-13
438,Tropic Thunder,Ben Stiller,Jack Black,Robert Downey Jr.," 207,272",Action,Comedy,War,Color,505,R
439,Prey,Amber Midthunder,Dakota Beavers,Dane DiLiegro," 786,467 ",Action,Adventure,Drama,-,608,R
440,Man of Steel,Henry Cavill,Amy Adams,Michael Shannon," 869,765 ",Action,Adventure,Sci-Fi,"$291,045,518",793,PG-13
441,Iron Man 3,Robert Downey Jr.,Guy Pearce,Gwyneth Paltrow," 342,371 ",Action,Adventure,Sci-Fi,United States,805,PG-13
442,Shooter,Mark Wahlberg,Michael Peña,Rhona Mitra," 667,311 ",Action,Drama,Thriller,-,818,R
443,Pirates of the Caribbean: At World's End,Johnny Depp,Orlando Bloom,Keira Knightley," 284,656 ",Action,Adventure,Fantasy,"$309,420,425",997,PG-13
444,Blade,Wesley Snipes,Stephen Dorff,Kris Kristofferson," 313,899 ",Action,Horror,Sci-Fi,Color,"1,063",R
445,Batman Returns,Michael Keaton,Danny DeVito,Michelle Pfeiffer," 372,162 ",Action,Crime,Fantasy,Color,"1,157",PG-13
446,Snowpiercer,Chris Evans,Jamie Bell,Tilda Swinton," 69,461 ",Action,Drama,Sci-Fi,ColorBlack and White,"1,195",R
447,DC League of Super-Pets,Dwayne Johnson,Kevin Hart,Kate McKinnon," 193,556 ",Animation,Action,Adventure,-,"1,210",PG
448,American Made,Tom Cruise,Domhnall Gleeson,Sarah Wright," 554,993 ",Action,Comedy,Crime,Color,"1,222",R
449,"I, Robot",Will Smith,Bridget Moynahan,Bruce Greenwood," 104,477 ",Action,Mystery,Sci-Fi,"$144,801,023","1,294",PG-13
450,WarGames,Matthew Broderick,Ally Sheedy,John Wood," 146,578 ",Action,Drama,Sci-Fi,Color,"1,340",PG
451,We Were Soldiers,Mel Gibson,Madeleine Stowe,Greg Kinnear," 140,864 ",Action,Drama,History,Color,"1,465",R
452,Highlander,Christopher Lambert,Sean Connery,Clancy Brown," 144,532 ",Action,Adventure,Fantasy,-,"1,484",R
453,Creed II,Michael B. Jordan,Sylvester Stallone,Tessa Thompson," 191,235 ",Action,Drama,Sport,United States,"1,629",PG-13
454,Desperado,Antonio Banderas,Salma Hayek,Joaquim de Almeida," 174,314 ",Action,Crime,Thriller,Color,"1,686",R
455,Deepwater Horizon,Mark Wahlberg,Kurt Russell,Douglas M. Griffin," 412,557 ",Action,Drama,History,-,"1,875",PG-13
456,Live Free or Die Hard,Bruce Willis,Justin Long,Timothy Olyphant," 126,208 ",Action,Thriller,-,Color,"1,967",PG-13
457,Flags of Our Fathers,Ryan Phillippe,Barry Pepper,Joseph Cross," 47,259 ",Action,Adventure,Drama,Color,"2,032",R
458,The Poseidon Adventure,Gene Hackman,Ernest Borgnine,Shelley Winters," 148,974 ",Action,Adventure,Drama,Color,"2,172",PG
459,Escape from New York,Kurt Russell,Lee Van Cleef,Ernest Borgnine," 216,848",Action,Adventure,Sci-Fi,Color,"2,182",R
460,Planet Terror,Rose McGowan,Freddy Rodríguez,Josh Brolin," 170,194 ",Action,Comedy,Horror,Color,"2,406",R
461,Kung Fu Panda 3,Jack Black,Bryan Cranston,Dustin Hoffman," 162,698 ",Animation,Action,Adventure,Color,"2,543",PG
462,Allied,Brad Pitt,Marion Cotillard,Jared Harris," 42,878 ",Action,Drama,Romance,-,"2,552",R
463,No Way Out,Kevin Costner,Gene Hackman,Sean Young," 224,650 ",Action,Crime,Drama,-,"2,618",R
464,Rocky Balboa,Sylvester Stallone,Antonio Tarver,Milo Ventimiglia," 317,898 ",Action,Drama,Sport,"$70,270,943","2,865",PG
465,Deja Vu,Denzel Washington,Paula Patton,Jim Caviezel," 46,325 ",Action,Crime,Sci-Fi,Color,"2,897",PG-13
466,Casualties of War,Michael J. Fox,Sean Penn,Don Harvey," 175,978 ",Action,Crime,Drama,Color,"3,252",R
467,Three Kings,George Clooney,Mark Wahlberg,Ice Cube," 370,711 ",Action,Adventure,Comedy,Color,"3,374",R
468,Die Hard 2,Bruce Willis,William Atherton,Bonnie Bedelia," 152,055 ",Action,Thriller,-,Color,"3,531",R
469,Defiance,Daniel Craig,Liev Schreiber,Jamie Bell," 70,842",Action,Drama,History,Color,"3,893",R
470,Brawl in Cell Block 99,Vince Vaughn,Jennifer Carpenter,Don Johnson," 141,527 ",Action,Crime,Drama,-,"4,001",Not Rated
471,Payback,Mel Gibson,Gregg Henry,Maria Bello," 28,678 ",Action,Crime,Drama,Color,"4,073",R
472,Enthiran,Rajinikanth,Aishwarya Rai Bachchan,Danny Denzongpa," 76,418 ",Action,Sci-Fi,Thriller,-,"4,373",Not Rated
473,Ong-Bak: The Thai Warrior,Tony Jaa,Phetthai Vongkumlao,Pumwaree Yodkamol," 25,041 ",Action,Crime,Thriller,Color,-,R
474,Megan Leavey,Kate Mara,Ramón Rodríguez,Tom Felton," 96,843 ",Action,Biography,Drama,Color,-,PG-13
475,The Girl Who Played with Fire,Noomi Rapace,Michael Nyqvist,Lena Endre," 28,504",Action,Crime,Drama,"$7,638,241",-,R
476,Mosul,Waleed Elgadi,Suhail Dabbach,Adam Bessa," 72,089 ",Action,Drama,War,-,-,TV-MA
477,District B13,Cyril Raffaelli,David Belle,Tony D'Amario," 71,047 ",Action,Crime,Sci-Fi,Color,-,R
478,God Bless America,Joel Murray,Tara Lynne Barr,Mackenzie Brooke Smith," 28,128 ",Action,Comedy,Crime,Color,-,R
479,In Order of Disappearance,Stellan Skarsgård,Bruno Ganz,Pål Sverre Hagen," 39,637 ",Action,Comedy,Crime,-,-,R
480,JCVD,Jean-Claude Van Damme,Valérie Bodson,Hervé Sogne," 28,017",Action,Comedy,Crime,-,-,R
481,Kaabil,Hrithik Roshan,Yami Gautam,Ronit Roy," 28,941 ",Action,Crime,Drama,Color,-,Not Rated
482,Dragon Ball Z: Battle of Gods,Masako Nozawa,Hiromi Tsuru,Ryô Horikawa," 38,931 ",Animation,Action,Adventure,Color,-,TV-PG
483,Don,Shah Rukh Khan,Priyanka Chopra Jonas,Arjun Rampal," 25,673 ",Action,Crime,Thriller,-,-,Not Rated
484,Koi... Mil Gaya,Hrithik Roshan,Rekha,Preity G Zinta," 30,801 ",Action,Drama,Romance,-,-,Not Rated
485,Micmacs,Dany Boon,André Dussollier,Nicolas Marié," 33,917 ",Action,Comedy,Crime,Color,-,R
486,Fanaa,Aamir Khan,Kajol,Rishi Kapoor," 55,587",Action,Drama,Romance,-,-,Not Rated
487,Marighella,Seu Jorge,Bruno Gagliasso,Luiz Carlos Vasconcelos," 25,781",Action,Drama,History,-,-,-
488,Gabbar Is Back,Akshay Kumar,Shruti Haasan,Kareena Kapoor," 30,331",Action,Crime,Drama,-,-,Not Rated
489,Sisu,Jorma Tommila,Aksel Hennie,Jack Doolan," 363,881 ",Action,War,-,Color,21,R
490,Shazam!,Zachary Levi,Mark Strong,Asher Angel," 652,086 ",Action,Adventure,Comedy,"$140,480,049",85,PG-13
491,Transformers,Shia LaBeouf,Megan Fox,Josh Duhamel," 124,161",Action,Adventure,Sci-Fi,Color,168,PG-13
492,The Unbearable Weight of Massive Talent,Nicolas Cage,Pedro Pascal,Tiffany Haddish," 404,368 ",Action,Comedy,Crime,Color,227,R
493,Fast & Furious 6,Vin Diesel,Paul Walker,Dwayne Johnson," 228,505 ",Action,Adventure,Crime,United StatesJapanSpainUnited Kingdom,233,PG-13
494,The Northman,Alexander Skarsgård,Nicole Kidman,Claes Bang," 350,147 ",Action,Adventure,Drama,Color,259,R
495,Jack Reacher,Tom Cruise,Rosamund Pike,Richard Jenkins," 869,301 ",Action,Mystery,Thriller,-,454,PG-13
496,Thor,Chris Hemsworth,Anthony Hopkins,Natalie Portman," 277,092 ",Action,Fantasy,-,"$181,030,624",464,PG-13
497,Underworld,Kate Beckinsale,Scott Speedman,Shane Brolly," 586,836 ",Action,Fantasy,Thriller,Color,540,R
498,Independence Day,Will Smith,Bill Pullman,Jeff Goldblum," 425,509 ",Action,Adventure,Sci-Fi,Color,554,PG-13
499,Ant-Man and the Wasp,Paul Rudd,Evangeline Lilly,Michael Peña," 358,562 ",Action,Adventure,Comedy,12-Track Digital SoundDolby Surround 7.1IMAX 6-TrackDolby AtmosAuro 11.1,660,PG-13
500,Constantine,Keanu Reeves,Rachel Weisz,Djimon Hounsou," 360,995 ",Action,Fantasy,Horror,"$75,976,178",733,R
501,Super 8,Elle Fanning,AJ Michalka,Kyle Chandler," 408,892 ",Action,Mystery,Sci-Fi,Color,734,PG-13
502,Cloverfield,Mike Vogel,Jessica Lucas,Lizzy Caplan," 687,846 ",Action,Adventure,Horror,Color,830,PG-13
503,World War Z,Brad Pitt,Mireille Enos,Daniella Kertesz," 301,007",Action,Adventure,Horror,Color,850,PG-13
504,Death Proof,Kurt Russell,Zoë Bell,Rosario Dawson," 251,864 ",Action,Thriller,-,ColorBlack and White,951,R
505,Star Trek Beyond,Chris Pine,Zachary Quinto,Karl Urban," 103,455",Action,Adventure,Sci-Fi,"$158,848,340","1,191",PG-13
506,Greyhound,Tom Hanks,Elisabeth Shue,Stephen Graham," 279,430 ",Action,Drama,History,Color,"1,213",PG-13
507,Rush Hour,Jackie Chan,Chris Tucker,Ken Leung," 537,651 ",Action,Comedy,Crime,Color,"1,250",PG-13
508,Oblivion,Tom Cruise,Morgan Freeman,Andrea Riseborough," 197,209 ",Action,Adventure,Sci-Fi,Color,"1,263",PG-13
509,Stargate,Kurt Russell,James Spader,Jaye Davidson," 377,335 ",Action,Adventure,Sci-Fi,"$71,567,262","1,274",PG-13
510,The Italian Job,Donald Sutherland,Mark Wahlberg,Edward Norton," 54,041 ",Action,Crime,Thriller,"$106,128,601","1,287",PG-13
511,Smokey and the Bandit,Burt Reynolds,Sally Field,Jerry Reed," 250,398 ",Action,Adventure,Comedy,Dolby AtmosDolby Digital,"1,337",PG
512,Spy,Melissa McCarthy,Rose Byrne,Jude Law," 156,429 ",Action,Comedy,-,-,"1,454",R
513,Sicario: Day of the Soldado,Benicio Del Toro,Josh Brolin,Isabela Merced," 247,049 ",Action,Crime,Drama,-,"1,509",R
514,Pitch Black,Radha Mitchell,Cole Hauser,Vin Diesel," 315,706 ",Action,Horror,Sci-Fi,Color,"1,601",R
515,RED,Bruce Willis,Helen Mirren,Morgan Freeman," 155,411 ",Action,Comedy,Crime,Color,"1,856",PG-13
516,Logan Lucky,Channing Tatum,Adam Driver,Daniel Craig," 117,802 ",Action,Comedy,Crime,-,"1,877",PG-13
517,Den of Thieves,Gerard Butler,Pablo Schreiber,O'Shea Jackson Jr.," 105,511 ",Action,Crime,Drama,-,"2,013",R
518,Unleashed,Jet Li,Bob Hoskins,Morgan Freeman," 389,348 ",Action,Crime,Drama,-,"2,128",R
519,22 Jump Street,Channing Tatum,Jonah Hill,Ice Cube," 68,713 ",Action,Comedy,Crime,Color,"2,161",R
520,Brotherhood of the Wolf,Samuel Le Bihan,Mark Dacascos,Jérémie Renier," 309,876 ",Action,Adventure,Drama,Color,"2,191",R
521,Public Enemies,Christian Bale,Johnny Depp,Christian Stolte," 135,810 ",Action,Biography,Crime,ColorBlack and White,"2,300",R
522,Bronson,Tom Hardy,Kelly Adams,Luing Andrews," 340,651 ",Action,Crime,Drama,Color,"2,329",R
523,Real Steel,Hugh Jackman,Evangeline Lilly,Dakota Goyo," 118,471 ",Action,Drama,Sci-Fi,Color,"2,337",PG-13
524,The Foreigner,Katie Leung,Jackie Chan,Rufus Jones," 43,685",Action,Thriller,-,Color,"2,471",R
525,Chip 'n Dale: Rescue Rangers,Andy Samberg,John Mulaney,KiKi Layne," 237,737 ",Animation,Action,Adventure,-,"2,584",PG
526,Rambo,Sylvester Stallone,Julie Benz,Matthew Marsden," 128,646 ",Action,Adventure,Thriller,"$42,754,105","2,687",R
527,The Kingdom,Jamie Foxx,Chris Cooper,Jennifer Garner," 256,803 ",Action,Drama,Thriller,Color,"2,699",R
528,Chronicle,Dane DeHaan,Alex Russell,Michael B. Jordan," 87,152 ",Action,Drama,Sci-Fi,Color,"2,888",PG-13
529,Fallen,Denzel Washington,John Goodman,Donald Sutherland," 233,041 ",Action,Crime,Drama,DTSDolby DigitalSDDS,"2,904",R
530,Body of Lies,Leonardo DiCaprio,Russell Crowe,Mark Strong," 107,455 ",Action,Drama,Thriller,Color,"2,934",R
531,The Last Boy Scout,Bruce Willis,Damon Wayans,Chelsea Field," 278,536 ",Action,Comedy,Crime,Color,"2,948",R
532,Hellboy II: The Golden Army,Ron Perlman,Selma Blair,Doug Jones," 26,918 ",Action,Adventure,Fantasy,"$75,986,503","3,106",PG-13
533,Thunderbolt and Lightfoot,Clint Eastwood,Jeff Bridges,George Kennedy," 143,244 ",Action,Comedy,Crime,-,"3,186",R
534,9,Elijah Wood,Jennifer Connelly,Crispin Glover," 74,879 ",Animation,Action,Adventure,Black and WhiteColor,"3,195",PG-13
535,A Most Violent Year,Oscar Isaac,Jessica Chastain,David Oyelowo," 34,526 ",Action,Crime,Drama,Color,"3,243",R
536,Ip Man 4: The Finale,Donnie Yen,Scott Adkins,Danny Kwok-Kwan Chan," 46,083 ",Action,Biography,Drama,Color,"3,817",Not Rated
537,The Towering Inferno,Paul Newman,Steve McQueen,William Holden," 112,247 ",Action,Drama,Thriller,Color,"3,818",PG
538,The Spy Who Loved Me,Roger Moore,Barbara Bach,Curd Jürgens," 112,362 ",Action,Adventure,Thriller,Color,"3,995",PG
539,Filth,James McAvoy,Jamie Bell,Eddie Marsan," 115,222 ",Action,Comedy,Crime,Color,"4,190",R
540,Maverick,Mel Gibson,Jodie Foster,James Garner," 161,085 ",Action,Adventure,Comedy,Color,"4,529",PG
541,Spy Game,Robert Redford,Brad Pitt,Catherine McCormack," 86,234 ",Action,Crime,Thriller,ColorBlack and White,"4,788",R
542,Taxi,Samy Naceri,Frédéric Diefenthal,Marion Cotillard," 58,076 ",Action,Comedy,Crime,Color,"4,805",Not Rated
543,Ichi the Killer,Tadanobu Asano,Nao Ômori,Shin'ya Tsukamoto," 37,170 ",Action,Crime,Drama,Color,-,-
544,The War of the Worlds,Gene Barry,Ann Robinson,Les Tremayne," 29,417",Action,Sci-Fi,Thriller,-,-,G
545,An Action Hero,Ayushmann Khurrana,Jaideep Ahlawat,Neeraj Madhav," 28,631 ",Action,Comedy,Crime,Color,-,-
546,Juice,Omar Epps,Tupac Shakur,Jermaine Hopkins," 32,525 ",Action,Crime,Drama,-,-,R
547,Son of Rambow,Bill Milner,Will Poulter,Jessica Hynes," 57,881 ",Action,Adventure,Comedy,Color,-,PG-13
548,Ip Man 3,Donnie Yen,Lynn Xiong,Jin Zhang," 31,985 ",Action,Biography,Drama,-,-,PG-13
549,Dragon: The Bruce Lee Story,Jason Scott Lee,Lauren Holly,Robert Wagner," 45,108 ",Action,Biography,Drama,Color,-,PG-13
550,Curse of the Golden Flower,Chow Yun-Fat,Gong Li,Jay Chou," 48,980 ",Action,Drama,Romance,Color,-,R
551,Sultan,Salman Khan,Anushka Sharma,Randeep Hooda," 38,160 ",Action,Drama,Romance,-,-,Not Rated
552,The Protector,Tony Jaa,Nathan Jones,Xing Jin," 35,873",Action,Crime,Drama,-,-,R
553,Kabir Singh,Shahid Kapoor,Kiara Advani,Nikita Dutta," 55,302 ",Action,Drama,Romance,-,-,Not Rated
554,Don 2,Shah Rukh Khan,Florian Lukas,Om Puri," 37,769 ",Action,Crime,Thriller,Color,-,Not Rated
555,Main Hoon Na,Shah Rukh Khan,Sushmita Sen,Suniel Shetty," 27,376 ",Action,Comedy,Drama,-,-,Not Rated
556,The Warlords,Jet Li,Andy Lau,Takeshi Kaneshiro," 32,536",Action,Adventure,Drama,Color,-,R
557,The Legend Is Born: Ip Man,Yu-Hang To,Yi Huang,Biao Yuen," 27,942",Action,Biography,Drama,-,-,Not Rated
558,Vikrant Rona,Sudeep,Nirup Bhandari,Neetha Ashok," 474,888 ",Action,Crime,Drama,-,-,Not Rated
559,Top Gun,Tom Cruise,Tim Robbins,Kelly McGillis," 26,523",Action,Drama,-,United States,106,PG
560,The Last Kingdom: Seven Kings Must Die,Mark Rowley,Pekka Strang,Zoltan Andrasi," 439,491 ",Action,Drama,History,-,296,TV-MA
561,Doctor Strange in the Multiverse of Madness,Benedict Cumberbatch,Elizabeth Olsen,Chiwetel Ejiofor," 244,803 ",Action,Adventure,Fantasy,"$411,331,607",299,PG-13
562,Game Night,Jason Bateman,Rachel McAdams,Kyle Chandler," 865,124 ",Action,Adventure,Comedy,-,409,R
563,Captain America: The First Avenger,Chris Evans,Hugo Weaving,Samuel L. Jackson," 155,569 ",Action,Adventure,Sci-Fi,"$176,654,505",447,PG-13
564,Conan the Barbarian,Arnold Schwarzenegger,James Earl Jones,Max von Sydow," 397,230 ",Action,Adventure,Fantasy,"$39,565,475",509,R
565,Jumanji: Welcome to the Jungle,Dwayne Johnson,Karen Gillan,Kevin Hart," 657,238 ",Action,Adventure,Comedy,United States,527,PG-13
566,Jurassic World,Chris Pratt,Bryce Dallas Howard,Ty Simpkins," 672,932 ",Action,Adventure,Sci-Fi,"$653,406,625",578,PG-13
567,The Amazing Spider-Man,Andrew Garfield,Emma Stone,Rhys Ifans," 648,155 ",Action,Adventure,Sci-Fi,United States,580,PG-13
568,Star Wars: Episode VIII - The Last Jedi,Daisy Ridley,John Boyega,Mark Hamill," 361,093 ",Action,Adventure,Fantasy,United States,622,PG-13
569,Solo: A Star Wars Story,Alden Ehrenreich,Woody Harrelson,Emilia Clarke," 366,787 ",Action,Adventure,Sci-Fi,"$213,767,512",645,PG-13
570,Mission: Impossible III,Tom Cruise,Michelle Monaghan,Ving Rhames," 399,391 ",Action,Adventure,Thriller,Color,861,PG-13
571,The Mask,Jim Carrey,Cameron Diaz,Peter Riegert," 95,405 ",Action,Comedy,Crime,Color,890,PG-13
572,The Guardian,Kevin Costner,Ashton Kutcher,Sela Ward," 193,577 ",Action,Adventure,Drama,Color,971,PG-13
573,A Knight's Tale,Heath Ledger,Mark Addy,Rufus Sewell," 837,374 ",Action,Adventure,Romance,Color,"1,033",PG-13
574,Iron Man 2,Robert Downey Jr.,Mickey Rourke,Gwyneth Paltrow," 446,053 ",Action,Sci-Fi,-,United States,"1,077",PG-13
575,X-Men: Apocalypse,James McAvoy,Michael Fassbender,Jennifer Lawrence," 308,250 ",Action,Adventure,Sci-Fi,Color,"1,141",PG-13
576,Con Air,Nicolas Cage,John Cusack,John Malkovich," 513,403 ",Action,Crime,Thriller,DTSDolby Digital,"1,205",R
577,Pacific Rim,Idris Elba,Charlie Hunnam,Rinko Kikuchi," 126,365 ",Action,Adventure,Sci-Fi,Color,"1,214",PG-13
578,Atlantis: The Lost Empire,Michael J. Fox,Jim Varney,Corey Burton," 98,682 ",Animation,Action,Adventure,Color,"1,501",PG
579,Romancing the Stone,Michael Douglas,Kathleen Turner,Danny DeVito," 200,664 ",Action,Adventure,Comedy,Color,"1,583",PG
580,Robin Hood: Prince of Thieves,Kevin Costner,Morgan Freeman,Mary Elizabeth Mastrantonio," 343,102 ",Action,Adventure,Drama,Color,"1,590",PG-13
581,National Treasure,Nicolas Cage,Diane Kruger,Justin Bartha," 238,316 ",Action,Adventure,Mystery,"$173,008,894","1,606",PG
582,The Hitman's Bodyguard,Ryan Reynolds,Samuel L. Jackson,Gary Oldman," 51,062",Action,Comedy,Crime,Color,"1,966",R
583,Dragged Across Concrete,Mel Gibson,Vince Vaughn,Tory Kittles," 134,485 ",Action,Crime,Drama,Color,"2,002",R
584,Love and Monsters,Dylan O'Brien,Jessica Henwick,Michael Rooker," 103,619 ",Action,Adventure,Comedy,Color,"2,020",PG-13
585,Clear and Present Danger,Harrison Ford,Willem Dafoe,Anne Archer," 289,121 ",Action,Crime,Drama,Color,"2,265",PG-13
586,The World's End,Simon Pegg,Nick Frost,Martin Freeman," 283,722 ",Action,Comedy,Sci-Fi,"$26,004,851","2,270",R
587,28 Weeks Later,Jeremy Renner,Rose Byrne,Robert Carlyle," 143,251 ",Action,Adventure,Horror,Color,"2,291",R
588,In the Heart of the Sea,Chris Hemsworth,Cillian Murphy,Brendan Gleeson," 347,902 ",Action,Adventure,Biography,-,"2,334",PG-13
589,Pineapple Express,Seth Rogen,James Franco,Gary Cole," 76,196",Action,Comedy,Crime,ColorBlack and White,"2,424",R
590,Outlaw King,Chris Pine,Stephen Dillane,Rebecca Robin," 46,006 ",Action,Biography,Drama,-,"2,537",R
591,Clash of the Titans,Laurence Olivier,Harry Hamlin,Claire Bloom," 122,501 ",Action,Adventure,Family,"$41,092,328","2,681",PG
592,Thunderball,Sean Connery,Claudine Auger,Adolfo Celi," 255,736 ",Action,Adventure,Thriller,6-Track Stereo,"3,040",PG
593,Crank,Jason Statham,Amy Smart,Carlos Sanz," 269,675 ",Action,Crime,Thriller,Color,"3,101",R
594,Non-Stop,Liam Neeson,Julianne Moore,Scoot McNairy," 76,220 ",Action,Mystery,Thriller,Color,"3,492",PG-13
595,The Edge,Anthony Hopkins,Alec Baldwin,Elle Macpherson," 81,501 ",Action,Adventure,Drama,Color,"3,525",R
596,48 Hrs.,Nick Nolte,Eddie Murphy,Annette O'Toole," 82,915 ",Action,Comedy,Crime,Color,"3,834",R
597,The Last Castle,Robert Redford,James Gandolfini,Mark Ruffalo," 41,309 ",Action,Drama,Thriller,-,"4,154",R
598,Death Wish,Charles Bronson,Hope Lange,Vincent Gardenia," 27,735",Action,Crime,Drama,Color,"4,205",R
599,The Night Comes for Us,Iko Uwais,Joe Taslim,Julie Estelle," 39,070 ",Action,Crime,Thriller,-,"4,479",TV-MA
600,Repo Man,Harry Dean Stanton,Emilio Estevez,Tracey Walter," 60,663 ",Action,Comedy,Crime,-,-,R
601,Westworld,Yul Brynner,Richard Benjamin,James Brolin," 29,438 ",Action,Sci-Fi,Thriller,Color,-,PG
602,Memphis Belle,Matthew Modine,Eric Stoltz,Tate Donovan," 33,683 ",Action,Drama,War,Color,-,PG-13
603,The Monster Squad,Andre Gower,Robby Kiger,Stephen Macht," 25,309 ",Action,Comedy,Fantasy,-,-,PG-13
604,Muppet Treasure Island,Tim Curry,Billy Connolly,Jennifer Saunders," 59,735 ",Action,Adventure,Comedy,-,-,G
605,Free State of Jones,Matthew McConaughey,Gugu Mbatha-Raw,Mahershala Ali," 82,039 ",Action,Biography,Drama,-,-,R
606,All Is Lost,Robert Redford,-,-," 85,268 ",Action,Adventure,Drama,Color,-,PG-13
607,Legend of the Guardians: The Owls of Ga'Hoole,Jim Sturgess,Hugo Weaving,David Wenham," 109,822",Animation,Action,Adventure,Color,-,PG
608,Get the Gringo,Mel Gibson,Kevin Balmore,Daniel Giménez Cacho," 28,178 ",Action,Drama,Thriller,-,-,R
609,The Big Boss,Bruce Lee,Maria Yi,James Tien," 28,048",Action,Crime,Drama,-,-,R
610,New Police Story,Jackie Chan,Nicholas Tse,Charlie Yeung," 58,464 ",Action,Crime,Thriller,Color,-,R
611,Traitor,Don Cheadle,Guy Pearce,Archie Panjabi," 46,644 ",Action,Crime,Drama,Color,-,PG-13
612,Slow West,Kodi Smit-McPhee,Caren Pistorius,Aorere Paki," 25,542 ",Action,Adventure,Drama,Color,-,R
613,Agneepath,Hrithik Roshan,Priyanka Chopra Jonas,Sanjay Dutt," 32,464 ",Action,Crime,Drama,-,-,Not Rated
614,Alan Partridge,Steve Coogan,Colm Meaney,Tim Key," 47,533 ",Action,Comedy,Crime,-,-,R
615,Fan,Shah Rukh Khan,Shriya Pilgaonkar,Sayani Gupta," 400,375 ",Action,Drama,Thriller,Color,-,Not Rated
616,The Fast and the Furious,Vin Diesel,Paul Walker,Michelle Rodriguez," 61,763 ",Action,Crime,Thriller,United StatesGermany,75,PG-13
617,The Woman King,Viola Davis,Thuso Mbedu,Lashana Lynch," 219,407 ",Action,Drama,History,-,262,PG-13
618,The Magnificent Seven,Denzel Washington,Chris Pratt,Ethan Hawke," 164,016 ",Action,Adventure,Drama,Color,264,PG-13
619,Ready or Not,Samara Weaving,Adam Brody,Mark O'Brien," 491,663 ",Action,Comedy,Horror,Color,502,R
620,Aquaman,Jason Momoa,Amber Heard,Willem Dafoe," 213,471 ",Action,Adventure,Fantasy,United StatesAustralia,528,PG-13
621,Mad Max,Mel Gibson,Joanne Samuel,Hugh Keays-Byrne," 579,829 ",Action,Adventure,Sci-Fi,"$8,750,000",605,R
622,Captain Marvel,Brie Larson,Samuel L. Jackson,Ben Mendelsohn," 373,273 ",Action,Adventure,Sci-Fi,United StatesAustralia,749,PG-13
623,Men in Black 3,Will Smith,Tommy Lee Jones,Josh Brolin," 483,987 ",Action,Adventure,Comedy,Color,757,PG-13
624,The Maze Runner,Dylan O'Brien,Kaya Scodelario,Will Poulter," 345,555 ",Action,Mystery,Sci-Fi,Color,826,PG-13
625,TRON: Legacy,Jeff Bridges,Garrett Hedlund,Olivia Wilde," 451,092 ",Action,Adventure,Sci-Fi,Color,"1,137",PG
626,Spectre,Daniel Craig,Christoph Waltz,Léa Seydoux," 128,335",Action,Adventure,Thriller,Color,"1,148",PG-13
627,What Happened to Monday,Noomi Rapace,Glenn Close,Willem Dafoe," 338,579 ",Action,Crime,Fantasy,Color,"1,226",TV-MA
628,Hellboy,Ron Perlman,Doug Jones,Selma Blair," 700,031 ",Action,Adventure,Fantasy,"$59,623,958","1,251",PG-13
629,Thor: The Dark World,Chris Hemsworth,Natalie Portman,Tom Hiddleston," 202,594 ",Action,Adventure,Fantasy,"$206,362,140","1,336",PG-13
630,Hanna,Saoirse Ronan,Cate Blanchett,Eric Bana," 89,067 ",Action,Adventure,Drama,United StatesUnited KingdomGermany,"1,487",PG-13
